prognosis,Introduction,Remedies
Hepatitis B,"Hepatitis B is a serious liver infection caused by the hepatitis B virus (HBV). For most people, hepatitis B is short term, also called acute,Having chronic hepatitis B increases your risk of developing liver failure, liver cancer or cirrhosis, a condition that permanently scars the liver.","1.Antiviral medications,2.Hydration,3.Rest,4.Proper nutrition,5.vaccination,6.Monitoring liver function"
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage. The hepatitis C virus (HCV) spreads through contaminated blood.","1.Antiviral medications,2.Hydration,3.Rest,4.Proper nutrition,5.vaccination,6.Monitoring liver function"
Hepatitis D,"Hepatitis D is an inflammation of the liver caused by the hepatitis D virus (HDV), which requires HBV for its replication. Hepatitis D infection cannot occur in the absence of hepatitis B virus.","1.Antiviral medications,2.Hydration,3.Rest,4.Proper nutrition,5.vaccination,6.Monitoring liver function"
Hepatitis E,"Hepatitis E is inflammation of the liver caused by the hepatitis E virus (HEV). The virus has at least 4 different types: genotypes 1, 2, 3 and 4. Genotypes 1 and 2 have been found only in humans. Genotypes 3 and 4 circulate in several animals including pigs, wild boars and deer without causing any disease, and occasionally infect humans.","Stay hydrated,Avoid alcoholTurmeric,Eat a healthy diet"
Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver caused by drinking alcohol. Alcoholic hepatitis is most likely to occur in people who drink heavily over many years. However, the relationship between drinking and alcoholic hepatitis is complex.","Stop drinking alcohol,Healthy diet,Turmeric,Exercise"
Tuberculosis,"Tuberculosis is an infectious disease that can cause infection in your lungs or other tissues. It commonly affects your lungs, but it can also affect other organs like your spine, brain or kidneys","Garlic,Ginger,Turmeric,Good nutrition"
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","Drink plenty of fluids,Gargle with salt water,Drink warm fluids,Rest"
Pneumonia,"Pneumonia is a type of lung infection that affects one or both lungs. It is caused by a variety of microorganisms, including bacteria, viruses, and fungi.","Stay hydrated,Get plenty of rest,Use a humidifier,Steam inhalation"
Dimorphic hemmorhoids(piles),"Hemorrhoids are swollen veins in the rectal area that can cause discomfort, pain, itching, and bleeding","Warm bath,Ice packs,Fiber rich diet,hydration"
Heart attack,"occurs when the blood flow to the heart is blocked, usually by a blood clot. This can cause damage to the heart muscle and can be life-threatening.","healthy lifestyle, including a balanced diet, regular physical activity, avoiding smoking,"
Varicose veins,"Varicose veins are swollen, twisted veins that often appear dark purple or blue in color, and are most commonly found in the legs","Exercise,Elevate your legs,Weight management,Avoid prolonged sitting or standing"
Hypothyroidism,Hypothyroidism is a condition in which the thyroid gland does not produce enough thyroid hormones,"Eat a balanced diet,Exercise regularly,Get enough sleep"
Hyperthyroidism,Hyperthyroidism is a condition in which the thyroid gland produces an excessive amount of thyroid hormones.,"Ashwagandha,Coconut oil,Coconut oil,Stress management:"
Hypoglycemia,Hypoglycemia is a condition in which the blood sugar levels in the body become too low,"Eat small, frequent meals,Consume complex carbohydrates,Avoid simple sugars,Exercise regularly"
Osteoarthristis,"Osteoarthritis is a common joint condition that occurs when the cartilage that cushions the joints breaks down, causing pain, stiffness, and swelling.","Maintain a healthy weight,Exercise regularly,Apply heat or cold,Practice relaxation techniques"
Arthritis,"Arthritis is a condition that causes inflammation in the joints, resulting in pain, stiffness, and reduced mobility.","Get enough sleep,Take supplements,Maintain a healthy weight,Exercise regularly"
(vertigo) Paroymsal  Positional Vertigo,Paroxysmal positional vertigo (PPV) is a type of vertigo that occurs when there is a change in the position of the head.,"Sit still,Practice balance exercises,Stay hydrated,Avoid bright lights"
Acne,"Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, resulting in pimples, blackheads, and whiteheads","Keep skin clean,Avoid touching your face,Apply tea tree oil,Apply aloe vera,Use Honey"
Urinary tract infection,"A urinary tract infection (UTI) is a common infection that occurs in any part of the urinary system, including the kidneys, bladder, ureters, and urethra.","Drinking plenty of water,Drinking cranberry juice,Using a heating pad,Avoiding irritants"
Psoriasis,"Psoriasis is a chronic autoimmune condition that affects the skin. It causes the skin cells to multiply too quickly, resulting in the formation of thick, scaly patches on the skin","Moisturize the skin,Take warm baths,Apply natural oils,Use aloe vera"
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and young children. It usually appears as reddish sores on the face, especially around the nose and mouth and on the hands and feet.","Keep the affected area clean,Apply honey,Apply apple cider vinegar,Use garlic"
